DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,EFFECTIVE_COUPON_AMOUNT
2024-02-03T23:00:00.000-04:00,,,initial_available_balance,,12888717.84,0.0,12888717.84,0.0,0.0,0.0,0.0,0.0,0.0,1,,,0.0,,,,,,,,,,,,,,
2024-02-03T23:03:21.000-04:00,71379210599,3758941.0,release,payment,3449.62,0.0,3620.5,0.0,-87.62,0.0,0.0,-83.26,0.0,1,available_money,caba,0.0,2024-02-01T00:03:27.000-04:00,,,,,,,ARS,"[{amount"":-7.24,""detail"":""tax_withholding_sirtac"",""financial_entity"":""caba""},{""amount"":-18.10,""detail"":""tax_withholding"",""financial_entity"":""caba""},{""amount"":-18.10,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-18.10,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-21.72,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:05:18.000-04:00,71379151569,3758942.0,release,payment,3385.81,0.0,3535.0,0.0,-85.55,0.0,0.0,-63.64,0.0,1,available_money,buenos_aires,0.0,2024-02-01T00:01:52.000-04:00,,,,,,,ARS,"[{amount"":-7.07,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-17.68,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-17.68,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-21.21,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:08:08.000-04:00,71585646996,3758948.0,release,payment,2153.13,0.0,2248.0,0.0,-54.4,0.0,0.0,-40.47,0.0,1,available_money,entre_rios,0.0,2024-02-01T00:05:13.000-04:00,,,,,,,ARS,"[{amount"":-4.50,""detail"":""tax_withholding_sirtac"",""financial_entity"":""entre_rios""},{""amount"":-11.24,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-11.24,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-13.49,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:08:40.000-04:00,71379313293,3758955.0,release,payment,11439.72,0.0,11943.75,0.0,-289.04,0.0,0.0,-214.99,0.0,1,available_money,salta,0.0,2024-02-01T00:09:21.000-04:00,,,,,,,ARS,"[{amount"":-23.89,""detail"":""tax_withholding_sirtac"",""financial_entity"":""salta""},{""amount"":-59.72,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-59.72,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-71.66,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:10:36.000-04:00,71523541806,3753542.0,release,payment,4673.15,0.0,4790.51,0.0,-55.09,0.0,0.0,-62.27,0.0,1,debvisa,buenos_aires,0.0,2024-01-31T00:07:58.000-04:00,,,,,,,ARS,"[{amount"":-9.58,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-23.95,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-28.74,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:10:36.000-04:00,71523541806,3753542.0,release,refund,0.0,1907.4,-1955.31,0.0,22.49,0.0,0.0,25.42,0.0,1,debvisa,buenos_aires,0.0,2024-02-01T07:47:23.000-04:00,,,,,,,ARS,"[{amount"":3.91,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":9.78,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":11.73,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:10:57.000-04:00,71317446065,3753546.0,release,payment,6734.36,0.0,6903.5,0.0,-79.39,0.0,0.0,-89.75,0.0,1,debvisa,buenos_aires,0.0,2024-01-31T00:09:02.000-04:00,,,,,,,ARS,"[{amount"":-13.81,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-34.52,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-41.42,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:10:57.000-04:00,71317446065,3753546.0,release,refund,0.0,2397.29,-2457.5,0.0,28.26,0.0,0.0,31.95,0.0,1,debvisa,buenos_aires,0.0,2024-01-31T07:27:23.000-04:00,,,,,,,ARS,"[{amount"":4.92,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":12.29,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":14.74,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-03T23:11:03.000-04:00,71585706866,3758954.0,release,payment,15716.01,0.0,16408.44,0.0,-397.08,0.0,0.0,-295.35,0.0,1,available_money,buenos_aires,0.0,2024-02-01T00:07:36.000-04:00,,,,,,,ARS,"[{amount"":-32.82,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-82.04,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-82.04,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-98.45,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
